filepath,label,img_size
data\bali-26_train\bali-26_train\bamboo\1206.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1207.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1208.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1209.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\121.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1210.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1211.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1212.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1213.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1214.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1215.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1216.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1217.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1218.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1219.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\122.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1220.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1221.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1222.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1223.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1224.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1225.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1226.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1227.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1228.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1229.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\123.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1230.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1231.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1232.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1233.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1234.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1235.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1236.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1237.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1238.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1239.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\124.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1240.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1241.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1242.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1243.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1244.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1245.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1246.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1247.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1248.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1249.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\125.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1250.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1251.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1252.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1253.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1254.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1255.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1256.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1257.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1258.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1259.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\126.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1260.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1261.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1262.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1263.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1264.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1265.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1266.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1267.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1268.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1269.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\127.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1270.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1271.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1272.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1273.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1274.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1275.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1276.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1277.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1278.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1279.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\128.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1280.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1281.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1282.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1283.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1284.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1285.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1286.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1287.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1288.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1289.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\129.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1290.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1291.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1292.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1293.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1294.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1295.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1296.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1297.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1298.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1299.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\13.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\130.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1300.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1301.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1302.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1303.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1304.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1305.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1306.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1307.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1308.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1309.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\131.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1310.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1311.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1312.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1313.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1314.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1315.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1316.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1317.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1318.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1319.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\132.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1320.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1321.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1322.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1323.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1324.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1325.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1326.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1327.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1328.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1329.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\133.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1330.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1331.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1332.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1333.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1334.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1335.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1336.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1337.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1338.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1339.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\134.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1340.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1341.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1342.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1343.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1344.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1345.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1346.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1347.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1348.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1349.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\135.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1350.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1351.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1352.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1353.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1354.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1355.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1356.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1357.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1358.jpg,bamboo,1
